team,player,pos,date,injury,timeline,details
St. Louis Cardinals,Carlos Martinez,SP,2020-08-04,Illness,Out indefinitely,Martinez will be on the COVID-19 injured list for unknown length of time after showing signs of the virus.
Chicago White Sox,Jimmy Lambert,RP,2020-08-03,Forearm,Mid Sept,Lambert has been transferred to the 45-day injured list with a right forearm strain. He is expected to be out for at least six weeks.
Seattle Mariners,Austin Adams,RP,2020-08-03,Knee,Mid Aug,Adams is expected to be out of the lineup as he is working his way back from an ACL injury while on the 45-day injured list. He is likely to make his season debut during the middle of August.
Los Angeles Dodgers,Alex Wood,SP,2020-08-03,Shoulder,Late Aug,Wood has been placed on the 10-day injured list due to left shoulder inflammation. He is likely to remain on the shelf until at least the end of August.
Baltimore Orioles,Kohl Stewart,SP,2020-08-02,Personal,out for season,Stewart has been designated for the 10-day injured list after informing the team that he has opted out of the 2020 season due to a personal decision.
Boston Red Sox,Eduardo Rodriguez,SP,2020-08-02,Heart,out for season,Rodriguez has been placed on the COVID-19 list due to inflammation of the heart muscle as a result from the virus. He is projected to miss the entire 2020 season.
Minnesota Twins,Homer Bailey,SP,2020-08-02,Bicep,Out indefinitely,"Bailey has been added to the 10-day injured list due to biceps tendinitis, and the severity of the ailment is unknown."
Seattle Mariners,Brandon Brennan,RP,2020-08-02,Oblique,Mid Sept,"Brennan has been transferred to the 45-day injured list with a strained left oblique, and he is expected to be on the sidelines until at least the middle of September."
Texas Rangers,Danny Santana,CF,2020-08-02,Forearm,Out indefinitely,Santana is on the 10-day injured list due to right forearm strain. It has yet to be established when he will return to action.
Chicago Cubs,James Norwood,RP,2020-08-02,Shoulder,Out indefinitely,Norwood has been added to the 10-day injured list with right shoulder inflammation. A timetable for recovery has yet to be established.
Colorado Rockies,Scott Oberg,RP,2020-08-02,Back,out for season,Oberg has been transferred to 45-day injured list with blood clots in his right arm. He is likely to miss the remainder of the season.
Miami Marlins,Isan Diaz,2B,2020-08-02,Personal,out for season,"Diaz has opted out of taking part in the 2020 season due to personal reasons, and the team has put him on the restricted list as a result."
Miami Marlins,Alex Vesia,RP,2020-08-02,Undisclosed,Out indefinitely,"Vesia has hit the 10-day injured list with an undefined ailment, and the severity of the injury is unknown."
Miami Marlins,Jordan Holloway,RP,2020-08-02,Undisclosed,Out indefinitely,Holloway will be on the 10-day injured list for an extended period. The nature of the ailment has yet to be provided.
Milwaukee Brewers,Lorenzo Cain,CF,2020-08-02,Personal,out for season,Cain has opted out of taking part in the 2020 season due to a personal reason. He is now on the restricted list.
New York Mets,Yoenis Cespedes,LF,2020-08-02,Personal,out for season,Cespedes has informed the team that he has elected to sit out the remainder of the 2020 season due to a personal decision. The team has put him on the restricted list.
New York Mets,Jed Lowrie,2B,2020-08-02,Knee,out for season,"Lowrie has been transferred to the 45-day injured list with PCL laxity in his left knee, and he is likely to miss the remainder of the season."
Houston Astros,Chris Devenski,RP,2020-08-01,Elbow,Out indefinitely,"Devenski has been placed on the 10-day injured list with a sore right elbow, and it is unclear when he will be able to return to action."
Minnesota Twins,Zack Littell,RP,2020-08-01,Hamstring,Out indefinitely,"Littell has hit the 10-day injured list due to a left hamstring strain, and it is unclear when he will be ready to return to action."
San Diego Padres,Trey Wingenter,RP,2020-08-01,Elbow,out for season,Wingenter has been shut down for the entire 2020 season after undergoing Tommy John surgery on his right elbow. He is now on the 45-day injured list.
Cincinnati Reds,Matt Bowman,RP,2020-07-31,Elbow,Out indefinitely,Bowman has been transferred to the 45-day injured list with a right elbow sprain. Team officials have yet to provide a return date.
Texas Rangers,Jose Leclerc,RP,2020-07-30,Shoulder,Late Aug,Leclerc has been moved to the 45-day injured list with a Grade 2 teres major strain in his right shoulder. He is likely to be out of commission for four weeks.
Chicago Cubs,Daniel Descalso,3B,2020-07-30,Ankle,Out indefinitely,Descalso has been placed on the 45-day injured list with a left ankle sprain. The severity of the ailment is not known.
New York Mets,Eduardo Nunez,2B,2020-07-30,Knee,Out indefinitely,"Nunez suffered a left knee contusion, and as a result, the team has put him on the 10-day injured list without a definitive return date."
Detroit Tigers,Dario Agrazal,SP,2020-07-29,Forearm,Out indefinitely,"Agrazal has been placed on the 10-day injured list due to a right forearm tendinitis, and he is in danger of missing the remainder of the season."
New York Mets,Jake Marisnick,CF,2020-07-29,Hamstring,Out indefinitely,Marisnick has hit the 10-day injured list with a left hamstring strain is without a definitive timetable for return.
Houston Astros,Joe Biagini,RP,2020-07-28,Shoulder,Out indefinitely,Biagini will spend an undetermined length of time away from the team while on the 10-day injured list due to a sore shoulder.
Texas Rangers,Corey Kluber,SP,2020-07-28,Shoulder,Late Aug,Kluber has been placed on the 45-day injured list after being diagnosed with a Grade 2 strain of the teres major muscle in his right shoulder. He is expected to miss at least four weeks.
Toronto Blue Jays,Ken Giles,RP,2020-07-28,Forearm,Out indefinitely,"Giles has hit the 10-day injured list due to a right forearm strain, and a return date has yet to be established."
Cincinnati Reds,Robert Stephenson,RP,2020-07-28,Back,Out indefinitely,"Stephenson is on the 10-day injury list with a mid-back strain, and the severity of the ailment is unknown."
Pittsburgh Pirates,Clay Holmes,RP,2020-07-28,Forearm,Out indefinitely,Holmes has been added to the 10-day injured list due to a right forearm strain. Team officials have yet to announce how much time he will miss.
Pittsburgh Pirates,Kyle Crick,RP,2020-07-28,Shoulder,Out indefinitely,Crick will spend an extended period on the 10-day injured list with a right shoulder and lat strain.
St. Louis Cardinals,Miles Mikolas,SP,2020-07-28,Forearm,out for season,Mikolas has landed on the 10-day injured list with a season-ending right forearm strain.
Chicago White Sox,Reynaldo Lopez,SP,2020-07-27,Shoulder,Out indefinitely,Lopez has hit the 10-day injured list with inflammation in his right shoulder. It is unknown how long he will need to heal.
Baltimore Orioles,Stevie Wilkerson,CF,2020-07-26,Wrist,Out indefinitely,"Wilkerson suffered a fractured left ring finger, and he is in danger of missing the remainder of the season."
Cleveland Indians,Tyler Naquin,CF,2020-07-26,Toe,0ut indefinitely,"Naquin has landed on the 10-day injured list due to a hairline fracture in his right big toe, and he is also recovering from a torn ACL in his right knee. A timetable for return has yet to be established."
Miami Marlins,Harold Ramirez,RF,2020-07-26,Illness,Out indefinitely,"Ramirez has been moved to the COVID-19 injured list, and it remains to be seen how long he will need to fight it off."
Miami Marlins,Garrett Cooper,1B,2020-07-26,Illness,Out indefinitely,Cooper will spend an unknown length of time on the COVID-19 injured list after coming in contact with the virus.
Miami Marlins,Jorge Alfaro,C,2020-07-26,Illness,Out indefinitely,Alfaro has been shifted to the 10-day injured list due to a positive testing for COVID-19. A timetable for return has yet to be established.
Miami Marlins,Jose Urena,SP,2020-07-26,Illness,Out indefinitely,Urena has been added to the COVID-19 injured list. It is unclear as to when he will be ready to return to action.
New York Mets,Brad Brach,RP,2020-07-26,Illness,Out indefinitely,"Brach has been posted to the COVID-19 injured list after contracting COVID-19, and team officials have yet to provide any details about a return."
Pittsburgh Pirates,Kevin Kramer,LF,2020-07-26,Hip,out for seaosn,Kramer is on the 45-day injured list after undergoing right hip surgery and will miss the 2020 season.
Washington Nationals,Roenis Elias,RP,2020-07-26,Elbow,Out indefinitely,Elias has been transferred to the 45-day injured list. He is in danger of missing the remainder of the season.
Houston Astros,Aledmys Diaz,SS,2020-07-25,Groin,Out indefinitely,Diaz has been designated for the 10-day injured list due to a right groin strain. A timetable for return has yet to be established.
Pittsburgh Pirates,Luke Maile,C,2020-07-25,Finger,Mid Oct,Maile has hit the 45-day injured list due to a fractured right index finger and is expected to miss 10 to 12 weeks.
Baltimore Orioles,Dillon Tate,RP,2020-07-23,Elbow,Out indefinitely,"Tate is on the 10-day injured list due to a right elbow injury, and he will miss an extended period."
Detroit Tigers,Jordan Zimmermann,SP,2020-07-23,Forearm,Out indefinitely,Zimmermann has been moved to the 45-day injured list due to a right forearm strain and will miss an extended period.
Houston Astros,Brad Peacock,RP,2020-07-23,Shoulder,Out indefinitely,"Peacock has been shifted to the 10-day injured list due to right shoulder inflammation, and a timetable for return has yet to be established."
Kansas City Royals,Kelvin Gutierrez,3B,2020-07-23,Elbow,Out indefinitely,Gutierrez has wound up on the 45-day injured list due to a Grade 2 UCL sprain in his elbow. He will miss an extended period.
Kansas City Royals,Jesse Hahn,SP,2020-07-23,Personal,Out indefinitely,Hahn has been placed on the bereavement list due to a death in his family. He is permitted to miss three to seven games.
Los Angeles Angels,Justin Anderson,RP,2020-07-23,Elbow,out for season,Anderson has wound up on the 45-day injured list and has been shut down for the entire 2020 season due to Tommy John surgery to fix the torn UCL in his right elbow.
Seattle Mariners,Gerson Bautista,RP,2020-07-23,Elbow,Out indefinitely,Bautista has been placed on the 45-day injured list with a flexor mass strain in his right elbow and will miss an extended period.
Tampa Bay Rays,Colin Poche,RP,2020-07-23,Elbow,out for season,Poche has been ruled out for the duration of the 2020 season due to Tommy John surgery. He is on the 45-day injured list.
Toronto Blue Jays,Elvis Luciano,RP,2020-07-23,Undisclosed,Out indefinitely,"Luciano has landed on the 10-day injured list due to an unspecified ailment, and it is unclear when he will return to game action."
Toronto Blue Jays,Yennsy Diaz,RP,2020-07-23,Back,Out indefinitely,Diaz will spend an undetermined length of time on the 45-day injured list due to a right lat strain.
Arizona Diamondbacks,Corbin Martin,RP,2020-07-23,Elbow,Mid Sept,Martin has been placed on the 10-day injured list as he is working his way back from Tommy John surgery. He is likely to be shelved until at least sometime in September.
Arizona Diamondbacks,Silvino Bracho,RP,2020-07-23,Elbow,out for season,Bracho is on the 45-day injured list while recovering from Tommy John surgery on his right elbow. He suffered a setback and is expected to miss the entire 2020 season.
Atlanta Braves,Cole Hamels,SP,2020-07-23,Arm,Mid Sept,Hamels will be on the 45-day injured list until at least sometime in September due to left triceps tendinitis.
Chicago Cubs,Jose Quintana,SP,2020-07-23,Thumb,Mid Aug,Quintana is on the 10-day injured list while recovering from surgery to repair nerve damage in his left thumb. He is expected to be sidelined until the middle of August.
Colorado Rockies,Peter Lambert,SP,2020-07-23,Forearm,out for season,Lambert has been shut down for the entire 2020 season due to Tommy John surgery to fix the torn UCL in his right elbow.
Los Angeles Dodgers,Jimmy Nelson,SP,2020-07-23,Back,out for season,"Nelson is on the 45-day injured list due to lower-back surgery, and he is expected to miss the entire 2020 season."
Miami Marlins,Drew Steckenrider,RP,2020-07-23,Elbow,out for season,"Steckenrider has been designated for the 45-day injured list due to a right elbow injury, and he is expected to miss the entire 2020 season."
Milwaukee Brewers,Ray Black,RP,2020-07-23,Shoulder,Out indefinitely,Black has been designated for the 10-day injured list with a rotator cuff strain in his right shoulder. It is uncertain how long he will be on the shelf.
San Diego Padres,Jorge Mateo,SS,2020-07-23,Illness,Out indefinitely,"Mateo has come in contact with the COVID-19 virus, and he will spend an undetermined length of time on the 10-day injured list."
San Diego Padres,Jose Castillo,RP,2020-07-23,Back,Late Aug,Castillo is expected to be held out of action for six weeks while on the 10-day injured list due to a Grade 2 left lat strain.
San Diego Padres,Anderson Espinoza,RP,2020-07-23,Elbow,out for season,Espinoza has wound up on the 45-day injured list after having Tommy John surgery. He is expected to sit out the entire 2020 season.
San Francisco Giants,Buster Posey,C,2020-07-23,Personal,out for season,"Posey has opted out of taking part in the 2020 season due to personal reasons, and the team has put him on the restricted list as a result."
San Francisco Giants,Aramis Garcia,C,2020-07-23,Hip,Mid Aug,Garcia has been placed on the 45-day injured list until at least the middle of August while he recovers from right labrum surgery.
Seattle Mariners,Julio Rodriguez,RF,2020-07-22,Wrist,Late Aug,Rodriguez suffered a hairline fracture in his left wrist and is expected to be out of action for at least four to six weeks.
Atlanta Braves,Philip Pfeifer,SP,2020-07-22,Elbow,Out indefinitely,Pfeifer has hit the 45-day injured list due to a left elbow bone contusion. Team management has yet to provide the severity of the ailment.
Pittsburgh Pirates,Keone Kela,RP,2020-07-22,Illness,Out indefinitely,Kela has been designated for the COVID-19 injured list due to a positive test. A return date has yet to be established.
Boston Red Sox,Darwinzon Hernandez,RP,2020-07-21,Illness,Out indefinitely,Hernandez has landed on the 10-day injured list as he has tested positive for COVID-19. It has yet to be determined how much time he will need to recuperate.
Oakland Athletics,A.J. Puk,SP,2020-07-21,Shoulder,Out indefinitely,"Puk has landed on the 10-day injured list with a left shoulder strain, and there is no timetable for return."
Atlanta Braves,Jacob Webb,RP,2020-07-21,Shoulder,Out indefinitely,"Webb has landed on the 45-day injured list due a right shoulder strain, and he will miss an undetermined length of time."
Boston Red Sox,Collin McHugh,SP,2020-07-19,Elbow,out for season,McHugh has opted out of taking part in the 2020 season due to a flexor strain in his right elbow.
Kansas City Royals,Daniel Tillo,RP,2020-07-17,Elbow,Out indefinitely,Tillo has been added to the 10-day injured list due to UCL damage in his left elbow. It is expected that he will miss the entire 2020 season.
Minnesota Twins,Wilfredo Tovar,SS,2020-07-16,Illness,Out indefinitely,"Tovar has landed on the 10-day injured list, and he will have to quarantine for an extended period after coming in contact with COVID-19."
Atlanta Braves,Peter O'Brien,LF,2020-07-16,Undisclosed,Out indefinitely,O'Brien has been designated for the 10-day injured list due to an unknown injury. It remains to be seen when he will make his season debut.
Atlanta Braves,Pete Kozma,SS,2020-07-16,Illness,Out indefinitely,"Kozma has been placed on the COVID-19 list due to testing positive for the virus, and it is uncertain when he will make his season debut."
Philadelphia Phillies,Rafael Alejandro Marchan,C,2020-07-16,Illness,Out indefinitely,Marchan has landed on the 10-day injured list due to an illness. It remains to be seen when he will make his season debut.
Philadelphia Phillies,Christian Bethancourt,C,2020-07-16,Illness,Out indefinitely,"Bethancourt has been shifted to the COVID-19 injured list after showing signs of the virus, and it has yet to be determined when he return to the lineup."
Philadelphia Phillies,Ranger Suarez,SP,2020-07-16,Illness,Out indefinitely,Suarez has been added to the COVID-19 injured list after coming in contact with the virus. It is unknown when he will return to the fold.
Houston Astros,Joe Smith,RP,2020-07-15,Personal,out for season,Smith has opted out of taking part in the 2020 season due to a personal reason.
St. Louis Cardinals,Jordan Hicks,RP,2020-07-15,Elbow,out for season,Hicks is on the 45-day injured list after having Tommy John surgery on his right elbow. He suffered a setback in his recovery and will sit out the entire 2020 season due to a personal reason.
Baltimore Orioles,Richie Martin,SS,2020-07-14,Wrist,out for season,Martin has been moved to the 45-day injured list and is expected to miss the entire 2020 season after undergoing surgery to repair to a broken bone in his right wrist.
Houston Astros,Ralph Garza,RP,2020-07-13,Undisclosed,Out indefinitely,Garza has landed on the 10-day injured list with an unannounced ailment. He will miss an extended period.
Texas Rangers,Eli White,2B,2020-07-10,Oblique,Out indefinitely,White will miss an extended period due to left oblique tightness.
Boston Red Sox,Chris Sale,SP,2020-07-07,Elbow,out for season,Sale is on the 45-day injured list and has been shut down for the duration of the 2020 season due to Tommy John surgery on his left elbow.
Philadelphia Phillies,Mikie Mahtook,CF,2020-07-07,Illness,Out indefinitely,"Mahtook has tested positive for COVID-19, and a timetable for return has yet to be established."
Minnesota Twins,Michael Pineda,SP,2020-07-06,Suspension,Elig Aug 31,Pineda has been suspended 60 games for violating the league's policy on performance-enhancing substances. He has 36 games remaining to serve and is expected to be reinstated in time for Aug. 31 versus the White Sox.
Minnesota Twins,Willians Astudillo,C,2020-07-05,Illness,Out indefinitely,Astudillo has been placed on the 10-day injured list due to COVID-19. He will miss an undetermined length of time.
Atlanta Braves,Felix Hernandez,SP,2020-07-05,Personal,out for season,Hernandez has elected to sit out the entire 2020 season due to a personal decision.
Colorado Rockies,Ian Desmond,LF,2020-06-30,Personal,out for season,Desmond has elected to sit out the entire 2020 season due to a personal reason.
Minnesota Twins,Fernando Romero,RP,2020-06-29,Personal,Out indefinitely,Romero will miss an extended period while on the restricted list as he waits for his visa issues to get resolved.
Philadelphia Phillies,Seranthony Dominguez,RP,2020-06-29,Elbow,out for season,Dominguez is on the 45-day injured list and has been shut down for the entire 2020 season due to Tommy John surgery on his right elbow.
Pittsburgh Pirates,Chris Archer,SP,2020-06-29,Shoulder,out for season,Archer has landed on the 45-day injured list after opting for season-ending surgery to relieve symptoms of neurogenic thoracic outlet syndrome in his right shoulder.
San Diego Padres,Andres Munoz,RP,2020-06-29,Elbow,out for season,Munoz is on the 45-day injured list and has been shut down for the entire 2020 season after undergoing Tommy John surgery on his right elbow.
San Francisco Giants,Tyler Beede,SP,2020-06-29,Elbow,out for season,Beede is on the 45-day injured list and has been shut down for the entire 2020 season due to Tommy John surgery on his right elbow.
Washington Nationals,Ryan Zimmerman,1B,2020-06-29,Personal,out for season,Zimmerman has elected to sit out the entire 2020 season due to a personal reason.
Washington Nationals,Joe Ross,RP,2020-06-29,Personal,out for season,Ross will report to his team for the duration of the 2020 season as he has chosen to sit out the entire 2020 campaign due to a personal reason.
Baltimore Orioles,Trey Mancini,LF,2020-06-28,Illness,out for season,Mancini will likely miss the 2020 season while on the 45-day injured list after having a malignant tumor removed from his colon.
New York Yankees,Luis Severino,SP,2020-06-28,Elbow,out for season,Severino has been placed on the 45-game injured list and is projected to miss the entire 2020 season after undergoing Tommy John surgery and having bone chips removed from his right elbow.
Seattle Mariners,Mitch Haniger,LF,2020-06-28,Hernia,Out indefinitely,Haniger had sports hernia surgery as well as a microdiscectomy to remove an intervertebral disc from his back. He will miss an unknown length of time while on the 45-day injured list.
Texas Rangers,Brock Burke,SP,2020-06-28,Shoulder,out for season,Burke is projected to miss the entire 2020 season while on the 45-day injured list due to surgery to correct a partial tear of the labrum in his left shoulder.
Cincinnati Reds,Vladimir Gutierrez,RP,2020-06-28,Suspension,out for season,Gutierrez will be forced to sit out the entire 2020 season as he has been suspended 80 games due to testing positive for a banned substance.
New York Mets,Noah Syndergaard,SP,2020-06-28,Elbow,out for season,Syndergaard has been placed on the 45-day injured list and has been shut down for the entire 2020 season due to Tommy John surgery to fix the torn UCL in his right elbow.
St. Louis Cardinals,John Brebbia,RP,2020-06-28,Elbow,out for season,Brebbia has been placed on the 45-day injured list and has been shut down for the entire 2020 season after undergoing Tommy John surgery.
Atlanta Braves,Jeremy Walker,RP,2020-06-26,Shoulder,Out indefinitely,Walker will spend an undetermined length of time on the 45-day injured list due to a right shoulder impingement.
Cleveland Indians,Emmanuel Clase,RP,2020-06-25,Suspension,out for season,Clase has been suspended for 60 games due to the use of a performance-enhancing substance.
Boston Red Sox,Dustin Pedroia,2B,2020-06-24,Knee,Out indefinitely,Pedroia suffered a setback in his recovery from a left knee injury and is now on the 45-day injured list for an undetermined length of time.
New York Yankees,Domingo German,SP,2020-06-24,Suspension,out for season,German has been suspended 81 games for violating the league's policy on domestic violence. He will not be eligible to participate in the regular season or postseason play.
Philadelphia Phillies,David Robertson,RP,2020-06-24,Elbow,Out indefinitely,Robertson has been placed on the 45-day injured list due to Tommy John surgery. Team officials have expressed that he stands a chance at a potential return toward whenever the end of the season will be.
Pittsburgh Pirates,Pablo Reyes,RF,2020-06-24,Suspension,out for season,Reyes has been suspended 80 games for violating the league's joint drug prevention and treatment program.
Pittsburgh Pirates,Jameson Taillon,SP,2020-06-24,Elbow,out for season,Taillon has been placed on the 45-day injured list. He is expected to miss the entire 2020 season while recuperating from Tommy John surgery and a flexor tendon repair operation.
San Francisco Giants,Reyes Moronta,RP,2020-06-24,Shoulder,Late Aug,Moronta is likely to be sidelined until at least the end of Aug. while he recovers from right shoulder surgery on the 45-day injured list.
Minnesota Twins,Blaine Hardy,RP,2020-03-27,Elbow,out for season,Hardy has been shut down for the entire 2020 season after undergoing Tommy John surgery on his left elbow.
Houston Astros,Francis Martes,RP,2020-02-17,Suspension,out for season,Marte has been issued a 162-game suspension due to testing positive for the use of performance-enhancing drugs.
